datetime,open,close,volume,MACD,ATREMA,fed,usdx
1/12/2007,1423.66,1430.73,1.49E+09,50.874294,13.306,5.22,85.03 
1/16/2007,1430.73,1431.9,1.44E+09,108.58489,10.640667,5.28,85.05 
1/17/2007,1430.73,1430.62,1.50E+09,132.07326,9.3304444,5.25,84.98 
1/18/2007,1430.59,1426.37,1.57E+09,125.30442,9.2502963,5.23,84.91 
1/19/2007,1426.35,1430.5,1.54E+09,28.317366,8.2935309,5.25,84.86 
1/22/2007,1430.47,1422.95,1.41E+09,40.570889,9.1923539,5.24,85.02 
1/23/2007,1422.78,1427.99,1.65E+09,149.42454,9.3515693,5.26,84.67 
1/24/2007,1427.96,1440.13,1.55E+09,148.90296,10.29438,5.27,84.94 
1/25/2007,1440.31,1423.9,1.66E+09,116.93992,12.976253,5.31,85.11 
1/26/2007,1423.9,1422.18,1.46E+09,36.879693,12.087502,5.26,85.28 
1/29/2007,1422.03,1420.62,1.52E+09,106.18962,10.881668,5.26,85.10 
1/30/2007,1420.61,1428.81,1.50E+09,115.80678,9.9877787,5.23,85.03 
1/31/2007,1428.65,1438.24,1.65E+09,125.86478,12.268519,5.33,84.61 
2/1/2007,1437.9,1445.93,1.62E+09,126.38529,11.092346,5.29,84.63 
2/2/2007,1445.94,1448.39,1.43E+09,127.81221,9.0082307,5.24,84.96 
2/5/2007,1448.28,1446.99,1.36E+09,96.747421,7.8488205,5.25,85.08 
2/6/2007,1446.98,1448,1.45E+09,138.91167,7.492547,5.24,84.78 
2/7/2007,1447.41,1450.02,1.46E+09,142.55483,7.181698,5.23,84.75 
2/8/2007,1449.99,1448.31,1.57E+09,114.88377,7.3344653,5.25,84.70 
2/9/2007,1448.25,1438.06,1.64E+09,26.091116,11.229644,5.25,84.87 
2/12/2007,1437.93,1433.37,1.33E+09,94.262633,10.046429,5.28,85.15 
2/13/2007,1433.22,1444.26,1.47E+09,138.77332,10.427619,5.26,84.73 
2/14/2007,1443.91,1455.3,1.50E+09,142.95698,11.531746,5.27,84.20 
2/15/2007,1455.45,1456.81,1.38E+09,119.1047,9.2844975,5.29,84.01 
2/16/2007,1456.62,1455.54,1.33E+09,31.728281,7.939665,5.24,84.09 
2/20/2007,1455.53,1459.68,1.30E+09,49.719457,9.0697767,5.27,84.19 
